brightness,contrast,saturation,color_uniformity,warm_ratio,transparency,dark_ratio,edge_density,edge_intensity,texture_roughness,smoothness,entropy,edge_entropy,channel_variance,highlights,category,filename
122.12,47.41,0.2949,0.3072,0.4039,0.0208,0.011,35.11,52.26,49.41,21.35,5.4745,3.093,150.57,0.001,plastic,20260408_173912_a14.jpg
107.61,46.6,0.3875,0.3125,0.2752,0.0049,0.0806,17.63,38.15,47.56,18.03,5.3,2.1263,226.36,0.0001,plastic,20260408_173912_a15.jpg
122.58,46.79,0.2901,0.3054,0.4,0.0151,0.0001,18.12,39.37,47.75,16.04,5.3254,2.1439,151.81,0.0008,plastic,20260408_173912_a2.jpg
122.58,46.79,0.2899,0.3051,0.4014,0.015,0.0001,18.14,39.39,47.74,18.02,5.3284,2.1506,152.71,0.0009,plastic,20260408_173912_a3.jpg
122.57,46.79,0.29,0.3052,0.4041,0.015,0.0001,18.12,39.37,47.75,15.99,5.3253,2.143,152.83,0.0007,plastic,20260408_173912_a4.jpg
124.23,42.86,0.2498,0.3022,0.3495,0.0126,0.0003,19.76,43.64,44.34,16.79,5.0256,2.1265,136.41,0.0012,plastic,20260408_173912_a5.jpg
88.45,33.94,0.2931,0.3057,0.347,0.0,0.0953,13.36,28.85,34.66,14.06,4.8765,1.8988,80.4,0.0,plastic,20260408_173912_a6.jpg
142.3,54.28,0.2905,0.3067,0.4237,0.1066,0.0,20.84,44.75,55.28,21.25,5.5184,2.2737,208.92,0.022,plastic,20260408_173912_a7.jpg
122.17,33.56,0.2179,0.2281,0.3563,0.0007,0.0,14.32,32.18,34.27,13.0,4.8609,1.9172,79.32,0.0,plastic,20260408_173912_a8.jpg
122.4,56.0,0.3401,0.3524,0.4295,0.0675,0.0634,20.79,44.76,57.11,21.69,5.5392,2.2461,216.74,0.0067,plastic,20260408_173912_a9.jpg
116.59,41.44,0.3242,0.2454,0.5861,0.0284,0.0092,12.81,27.73,41.97,12.22,5.3424,1.917,203.87,0.003,plastic,20260408_173920_a0.jpg
116.59,41.44,0.3242,0.2452,0.5865,0.0284,0.0095,12.81,27.72,41.97,13.07,5.3426,1.9173,203.57,0.0031,plastic,20260408_173920_a1.jpg
116.6,41.17,0.323,0.2444,0.5861,0.0278,0.0082,11.91,25.7,41.6,11.52,5.3299,1.8684,203.87,0.0026,plastic,20260408_173920_a10.jpg
116.33,40.5,0.3226,0.2423,0.5895,0.0255,0.0056,8.69,22.11,40.74,9.88,5.2936,1.4832,205.23,0.0021,plastic,20260408_173920_a11.jpg
111.93,38.83,0.3421,0.21,0.709,0.0133,0.0067,15.44,32.71,39.49,12.86,5.2213,2.1313,234.35,0.0013,plastic,20260408_173920_a12.jpg
112.41,37.87,0.3269,0.2153,0.6829,0.0129,0.0065,16.83,35.5,38.69,12.7,5.1871,2.1806,215.04,0.0012,plastic,20260408_173920_a13.jpg
116.14,42.0,0.3282,0.2474,0.5848,0.0291,0.0159,29.5,43.02,43.53,16.04,5.3872,2.9419,201.35,0.0025,plastic,20260408_173920_a14.jpg
110.75,39.39,0.5209,0.201,0.5349,0.0129,0.0179,12.26,26.32,39.89,12.01,5.2714,1.8885,949.6,0.0,plastic,20260408_173920_a15.jpg
116.59,41.44,0.3244,0.2453,0.586,0.0284,0.0095,12.81,27.61,41.96,12.99,5.3442,1.9242,203.83,0.0029,plastic,20260408_173920_a2.jpg
116.59,41.44,0.3242,0.2452,0.5865,0.0284,0.0095,12.81,27.72,41.97,12.2,5.3426,1.9173,203.57,0.0031,plastic,20260408_173920_a3.jpg
116.59,41.44,0.3243,0.2455,0.585,0.0283,0.0096,12.81,27.62,41.96,13.05,5.3445,1.9252,203.55,0.0029,plastic,20260408_173920_a4.jpg
117.96,39.42,0.2843,0.2537,0.4981,0.0286,0.0112,15.01,33.57,40.19,12.47,5.1817,1.971,152.7,0.0029,plastic,20260408_173920_a5.jpg
91.72,32.77,0.3257,0.2466,0.5643,0.0,0.0483,10.32,21.85,33.19,11.83,5.0101,1.7494,127.68,0.0,plastic,20260408_173920_a6.jpg
140.5,48.53,0.3203,0.249,0.5964,0.084,0.002,15.26,32.93,49.11,13.95,5.5405,2.0669,315.35,0.0408,plastic,20260408_173920_a7.jpg
116.15,35.71,0.2854,0.2142,0.5745,0.0121,0.0005,11.69,25.62,36.18,10.66,5.1308,1.8318,150.76,0.0,plastic,20260408_173920_a8.jpg
116.09,52.98,0.4074,0.3117,0.5984,0.059,0.0726,15.31,32.41,53.64,15.71,5.6665,2.0811,353.8,0.0253,plastic,20260408_173920_a9.jpg
89.03,67.55,0.5875,0.2522,0.0118,0.0197,0.2476,12.51,25.68,68.03,17.89,5.0354,2.0024,565.36,0.0,plastic,20260408_173929_a0.jpg
89.02,67.54,0.5864,0.2521,0.0119,0.02,0.2477,12.52,25.68,68.03,21.2,5.0336,2.0043,564.29,0.0,plastic,20260408_173929_a1.jpg
89.02,67.29,0.5856,0.2505,0.0112,0.0176,0.2435,11.4,22.57,67.69,17.42,5.0168,1.9382,565.79,0.0,plastic,20260408_173929_a10.jpg
88.68,66.65,0.5828,0.2464,0.0109,0.0157,0.2285,7.69,16.23,66.89,16.45,4.9516,1.538,564.74,0.0,plastic,20260408_173929_a11.jpg
72.04,58.3,0.6376,0.2255,0.0113,0.0112,0.3052,15.47,30.58,59.04,19.58,4.7941,2.2565,570.55,0.0,plastic,20260408_173929_a12.jpg
78.65,59.42,0.5861,0.2703,0.0082,0.0132,0.2839,20.23,41.86,60.57,20.31,4.9724,2.396,490.04,0.0,plastic,20260408_173929_a13.jpg
88.61,67.76,0.5874,0.2594,0.0112,0.0276,0.2599,27.16,40.54,68.77,20.34,5.1717,2.8883,557.85,0.0001,plastic,20260408_173929_a14.jpg
115.74,74.22,0.4114,0.216,0.0139,0.2305,0.0721,14.13,28.95,74.77,16.28,5.0946,2.1091,319.6,0.0771,plastic,20260408_173929_a15.jpg
89.02,67.55,0.5865,0.2518,0.0116,0.0189,0.2458,12.49,25.5,68.03,21.22,5.0348,2.0069,564.69,0.0,plastic,20260408_173929_a2.jpg
89.02,67.54,0.5864,0.2521,0.0119,0.02,0.2477,12.52,25.68,68.03,17.99,5.0336,2.0043,564.29,0.0,plastic,20260408_173929_a3.jpg
89.02,67.55,0.5868,0.2521,0.0119,0.0192,0.2459,12.48,25.5,68.03,21.18,5.036,2.0054,565.02,0.0,plastic,20260408_173929_a4.jpg
101.91,65.28,0.4798,0.3069,0.0033,0.0198,0.1753,18.69,41.67,66.35,16.04,5.1,2.1858,423.75,0.0,plastic,20260408_173929_a5.jpg
60.11,46.01,0.5917,0.255,0.0099,0.0,0.5369,8.67,17.75,46.38,18.02,4.4939,1.6689,262.75,0.0,plastic,20260408_173929_a6.jpg
113.26,83.75,0.561,0.2929,0.0123,0.2684,0.1497,15.44,32.12,84.39,18.66,5.0949,2.1584,746.2,0.1869,plastic,20260408_173929_a7.jpg
88.5,40.74,0.3561,0.1411,0.0089,0.0,0.0034,8.75,18.23,41.04,12.93,4.3255,1.624,206.85,0.0,plastic,20260408_173929_a8.jpg
88.59,75.03,0.6618,0.2959,0.0121,0.1013,0.3205,13.37,27.74,75.58,19.34,5.153,2.0691,689.52,0.0006,plastic,20260408_173929_a9.jpg
107.38,67.94,0.2634,0.2429,0.0056,0.0,0.2984,8.75,23.54,68.27,17.32,5.1291,1.4635,49.88,0.0,plastic,20260408_173935_a0.jpg
107.39,67.94,0.2627,0.2431,0.0056,0.0,0.2977,8.76,23.55,68.27,18.63,5.1285,1.4647,49.71,0.0,plastic,20260408_173935_a1.jpg
107.39,67.81,0.2623,0.2413,0.0055,0.0,0.2974,8.26,21.99,68.1,17.02,5.1211,1.4327,49.89,0.0,plastic,20260408_173935_a10.jpg
107.19,67.48,0.2595,0.2384,0.0054,0.0,0.3054,6.22,18.58,67.69,16.29,5.0928,1.141,49.87,0.0,plastic,20260408_173935_a11.jpg
73.01,66.16,0.3515,0.2284,0.0258,0.0,0.5067,11.84,29.04,66.7,20.7,4.9035,1.8577,41.43,0.0,plastic,20260408_173935_a12.jpg
80.85,66.27,0.313,0.2437,0.0233,0.0,0.4453,16.76,40.89,67.19,19.73,5.0218,2.0296,34.36,0.0,plastic,20260408_173935_a13.jpg
107.01,68.13,0.2649,0.2523,0.0054,0.0004,0.2939,23.95,36.78,68.83,19.44,5.2851,2.7751,47.76,0.0,plastic,20260408_173935_a14.jpg
92.62,63.0,0.3598,0.2315,0.5477,0.0,0.394,7.88,21.29,63.25,17.75,4.9891,1.3731,39.83,0.0,plastic,20260408_173935_a15.jpg
107.39,67.94,0.2631,0.2433,0.0055,0.0,0.2988,8.73,23.45,68.27,18.56,5.1304,1.4595,49.44,0.0,plastic,20260408_173935_a2.jpg
107.39,67.94,0.2627,0.2431,0.0056,0.0,0.2977,8.76,23.55,68.27,17.54,5.1285,1.4647,49.71,0.0,plastic,20260408_173935_a3.jpg
107.38,67.94,0.2632,0.2432,0.0055,0.0,0.2983,8.73,23.46,68.27,18.63,5.131,1.4608,49.62,0.0,plastic,20260408_173935_a4.jpg
117.33,60.59,0.2066,0.2391,0.0066,0.0,0.213,13.47,36.76,61.36,16.17,5.0262,1.641,34.79,0.0,plastic,20260408_173935_a5.jpg
75.49,48.01,0.27,0.2503,0.0044,0.0,0.4088,6.31,16.61,48.3,16.87,4.6651,1.2061,24.74,0.0,plastic,20260408_173935_a6.jpg
128.21,81.45,0.2669,0.2445,0.0059,0.2407,0.2174,10.37,28.0,81.81,18.66,5.3882,1.6106,73.22,0.0011,plastic,20260408_173935_a7.jpg
106.71,45.79,0.1383,0.1164,0.0043,0.0,0.0079,7.11,19.38,46.09,12.46,4.586,1.2536,23.11,0.0,plastic,20260408_173935_a8.jpg
109.06,85.19,0.3732,0.4037,0.006,0.0948,0.4072,9.41,27.63,85.47,20.73,5.1325,1.4546,67.95,0.0,plastic,20260408_173935_a9.jpg
126.2,47.06,0.2974,0.1457,0.2399,0.0477,0.0323,20.43,36.14,48.05,18.04,5.5533,2.5571,51.57,0.0046,plastic,20260408_174059_a0.jpg
126.2,47.06,0.2974,0.1461,0.2386,0.0475,0.0324,20.43,36.14,48.05,16.28,5.5533,2.5562,51.47,0.0046,plastic,20260408_174059_a1.jpg
126.24,46.55,0.2959,0.1437,0.2383,0.0457,0.0315,17.92,31.79,47.33,16.33,5.5372,2.4431,51.9,0.0035,plastic,20260408_174059_a10.jpg
125.79,45.27,0.2929,0.1394,0.2382,0.0399,0.0289,11.87,24.83,45.66,12.92,5.4921,1.9706,51.54,0.001,plastic,20260408_174059_a11.jpg
121.79,46.17,0.3133,0.1694,0.2604,0.0367,0.0396,27.84,47.2,47.92,22.4,5.5334,2.8376,25.33,0.0027,plastic,20260408_174059_a12.jpg
123.81,44.37,0.2731,0.1687,0.21,0.0358,0.0379,30.02,51.57,46.6,21.98,5.4047,2.8486,35.39,0.0027,plastic,20260408_174059_a13.jpg
125.63,47.22,0.2979,0.1473,0.236,0.0467,0.0326,26.11,40.57,48.47,19.15,5.5694,2.8492,52.37,0.0045,plastic,20260408_174059_a14.jpg
122.71,46.61,0.3097,0.2077,0.5314,0.0414,0.0351,20.19,35.58,47.62,17.96,5.522,2.5463,249.64,0.0001,plastic,20260408_174059_a15.jpg
126.2,47.06,0.2971,0.1455,0.2398,0.0475,0.0327,20.42,35.99,48.04,16.36,5.5517,2.5615,51.43,0.0048,plastic,20260408_174059_a2.jpg
126.2,47.06,0.2974,0.1461,0.2386,0.0475,0.0324,20.43,36.14,48.05,18.02,5.5533,2.5562,51.47,0.0046,plastic,20260408_174059_a3.jpg
126.2,47.06,0.2972,0.1459,0.2394,0.0472,0.0326,20.43,35.98,48.04,16.3,5.5513,2.5613,51.56,0.0047,plastic,20260408_174059_a4.jpg
127.41,43.29,0.2527,0.1538,0.1927,0.0379,0.021,23.21,42.43,44.6,16.6,5.3221,2.575,55.51,0.0044,plastic,20260408_174059_a5.jpg
98.71,37.04,0.2999,0.149,0.2216,0.0,0.0447,16.18,28.65,37.84,15.46,5.2109,2.34,32.16,0.0,plastic,20260408_174059_a6.jpg
155.17,55.38,0.2862,0.1557,0.2501,0.179,0.027,24.03,42.03,56.46,21.01,5.7052,2.7351,54.55,0.0699,plastic,20260408_174059_a7.jpg
125.68,41.13,0.2565,0.1164,0.2316,0.0254,0.0236,18.45,33.21,42.03,15.81,5.3619,2.4534,39.06,0.0005,plastic,20260408_174059_a8.jpg
125.68,60.59,0.4007,0.2246,0.2524,0.0985,0.0845,25.17,43.19,61.8,23.19,5.8259,2.7634,76.69,0.0395,plastic,20260408_174059_a9.jpg
125.14,48.87,0.2323,0.1744,0.2094,0.0538,0.0246,28.44,49.13,50.77,27.09,5.5882,2.8163,8.63,0.0088,plastic,20260408_174115_a0.jpg
125.14,48.87,0.2322,0.1739,0.2091,0.0539,0.0246,28.44,49.13,50.77,20.55,5.5881,2.8167,8.72,0.0087,plastic,20260408_174115_a1.jpg
125.13,47.76,0.2307,0.173,0.2098,0.0472,0.0242,24.41,41.9,49.19,24.06,5.5522,2.7029,8.73,0.0074,plastic,20260408_174115_a10.jpg
124.65,45.55,0.2267,0.1707,0.2097,0.0274,0.02,15.19,29.08,46.18,18.0,5.4692,2.2192,8.87,0.0017,plastic,20260408_174115_a11.jpg
122.05,59.47,0.2606,0.2043,0.2343,0.0784,0.1158,42.56,70.44,62.64,35.15,5.8156,3.0461,2.0,0.0058,plastic,20260408_174115_a12.jpg
123.71,56.97,0.2426,0.201,0.2271,0.0764,0.0981,43.79,71.31,60.5,34.2,5.7736,3.0728,1.85,0.0059,plastic,20260408_174115_a13.jpg
124.55,49.38,0.2362,0.1769,0.2141,0.0531,0.0273,39.69,58.31,52.14,29.06,5.6155,3.1878,8.85,0.0083,plastic,20260408_174115_a14.jpg
110.52,42.34,0.4297,0.0978,0.1465,0.0026,0.0323,24.8,42.23,44.0,23.76,5.3757,2.7144,595.29,0.0,plastic,20260408_174115_a15.jpg
125.14,48.87,0.2323,0.1744,0.21,0.0527,0.0248,28.47,49.04,50.78,20.55,5.587,2.8203,8.63,0.0094,plastic,20260408_174115_a2.jpg
125.14,48.87,0.2322,0.1739,0.2091,0.0539,0.0246,28.44,49.13,50.78,26.98,5.5881,2.8167,8.72,0.0087,plastic,20260408_174115_a3.jpg
125.14,48.86,0.2319,0.1742,0.2081,0.0526,0.0245,28.47,49.04,50.77,20.52,5.5866,2.8196,8.69,0.0093,plastic,20260408_174115_a4.jpg
125.89,42.84,0.1925,0.1695,0.1704,0.0381,0.0189,31.07,55.26,45.62,23.78,5.2525,2.7486,8.89,0.0089,plastic,20260408_174115_a5.jpg
96.21,37.81,0.2337,0.1757,0.1931,0.0,0.0515,22.17,38.67,39.32,22.07,5.2215,2.5905,5.19,0.0,plastic,20260408_174115_a6.jpg
167.74,59.38,0.2101,0.1898,0.2379,0.3027,0.0056,34.42,55.74,61.28,31.99,5.5611,3.0582,2.31,0.1681,plastic,20260408_174115_a7.jpg
124.59,31.2,0.1439,0.0978,0.1798,0.0001,0.0,19.75,34.88,32.45,17.32,4.9439,2.4689,3.66,0.0,plastic,20260408_174115_a8.jpg
124.19,62.13,0.3129,0.2546,0.2352,0.1061,0.0764,34.88,58.47,64.38,34.18,5.8704,2.9754,10.02,0.0418,plastic,20260408_174115_a9.jpg
102.11,60.09,0.3606,0.1933,0.2064,0.0645,0.1318,18.46,35.26,60.87,20.61,5.7478,2.4192,52.28,0.0087,plastic,20260408_174133_a0.jpg
102.11,60.09,0.3605,0.1932,0.2067,0.0643,0.1316,18.46,35.26,60.88,19.2,5.7471,2.4204,52.38,0.0083,plastic,20260408_174133_a1.jpg
102.15,59.71,0.3585,0.1918,0.2039,0.0622,0.1299,16.35,30.97,60.31,19.09,5.7443,2.3221,52.47,0.0073,plastic,20260408_174133_a10.jpg
101.72,58.71,0.3544,0.1864,0.2054,0.0562,0.1307,10.72,23.01,59.02,16.33,5.7202,1.8712,52.21,0.0038,plastic,20260408_174133_a11.jpg
97.24,66.9,0.3961,0.2076,0.2573,0.0534,0.2505,26.25,49.46,68.29,25.29,5.7707,2.685,11.62,0.0069,plastic,20260408_174133_a12.jpg
97.86,66.47,0.3875,0.2086,0.2515,0.0526,0.2458,28.1,52.08,68.06,24.89,5.7813,2.726,11.55,0.0065,plastic,20260408_174133_a13.jpg
101.65,60.14,0.3617,0.1949,0.2071,0.0635,0.1328,20.62,37.0,60.99,20.93,5.7585,2.5743,52.39,0.0076,plastic,20260408_174133_a14.jpg
116.73,61.49,0.2938,0.1647,0.2549,0.0966,0.0869,19.22,36.72,62.27,20.48,5.7481,2.4526,23.02,0.037,plastic,20260408_174133_a15.jpg
102.12,60.1,0.3606,0.1936,0.2046,0.0641,0.1314,18.5,35.19,60.89,19.2,5.7483,2.4289,52.31,0.0084,plastic,20260408_174133_a2.jpg
102.11,60.09,0.3605,0.1932,0.2067,0.0643,0.1316,18.46,35.26,60.87,20.46,5.7471,2.4204,52.38,0.0083,plastic,20260408_174133_a3.jpg
102.11,60.1,0.3608,0.194,0.2047,0.064,0.1313,18.49,35.18,60.88,19.22,5.7472,2.4286,52.28,0.0087,plastic,20260408_174133_a4.jpg
110.3,56.1,0.2687,0.1945,0.1391,0.0643,0.0834,22.45,43.39,57.41,17.71,5.4966,2.498,57.85,0.0093,plastic,20260408_174133_a5.jpg
81.38,48.21,0.3653,0.1953,0.1826,0.0,0.1892,14.92,28.93,48.85,18.5,5.4452,2.2056,34.15,0.0,plastic,20260408_174133_a6.jpg
116.6,67.52,0.3569,0.2017,0.2245,0.1295,0.1142,20.68,39.26,68.37,22.48,5.8543,2.5261,55.72,0.0621,plastic,20260408_174133_a7.jpg
101.6,43.91,0.2518,0.135,0.1707,0.001,0.054,14.59,28.53,44.49,15.61,5.3091,2.1873,27.98,0.0,plastic,20260408_174133_a8.jpg
101.81,74.16,0.4781,0.2955,0.2237,0.1174,0.2304,21.69,41.66,75.09,25.09,5.8066,2.5171,69.22,0.0596,plastic,20260408_174133_a9.jpg
100.05,51.95,0.2377,0.1824,0.1794,0.05,0.0882,34.52,59.55,55.1,33.62,5.577,2.8904,9.73,0.0211,plastic,20260408_174524_a0.jpg
100.05,51.94,0.2374,0.1826,0.1778,0.0502,0.0882,34.52,59.55,55.1,29.41,5.5771,2.8898,9.71,0.0211,plastic,20260408_174524_a1.jpg
100.06,49.91,0.2332,0.1749,0.1791,0.043,0.0812,29.42,51.47,52.47,29.99,5.5423,2.7971,9.73,0.0154,plastic,20260408_174524_a10.jpg
99.64,45.54,0.2257,0.1664,0.1741,0.0278,0.0689,18.46,33.05,46.94,22.82,5.4467,2.374,9.88,0.0048,plastic,20260408_174524_a11.jpg
91.28,51.09,0.2645,0.2012,0.2319,0.0393,0.1304,38.66,68.03,55.09,36.29,5.5138,2.8288,2.63,0.0168,plastic,20260408_174524_a12.jpg
91.28,51.09,0.2645,0.2012,0.2319,0.0393,0.1304,38.66,68.03,55.09,36.29,5.5138,2.8288,2.63,0.0168,plastic,20260408_174524_a13.jpg
99.52,52.04,0.2416,0.184,0.1801,0.0499,0.0933,36.88,60.68,55.35,33.98,5.5884,3.018,9.85,0.0201,plastic,20260408_174524_a14.jpg
76.83,47.65,0.4182,0.1934,0.0485,0.0159,0.2192,31.51,55.71,50.74,32.24,5.421,2.8093,239.57,0.0,plastic,20260408_174524_a15.jpg
100.05,51.97,0.2373,0.1824,0.1801,0.0499,0.0892,34.57,59.52,55.14,29.47,5.5788,2.8849,9.68,0.0212,plastic,20260408_174524_a2.jpg
100.05,51.94,0.2374,0.1826,0.1778,0.0502,0.0882,34.52,59.55,55.1,33.62,5.5771,2.8898,9.71,0.0211,plastic,20260408_174524_a3.jpg
100.05,51.97,0.2378,0.1829,0.1774,0.05,0.0889,34.57,59.51,55.13,29.47,5.5783,2.885,9.78,0.0211,plastic,20260408_174524_a4.jpg
102.31,51.08,0.2218,0.1794,0.157,0.0481,0.0839,38.63,63.98,54.69,30.09,5.5706,2.9745,10.73,0.0201,plastic,20260408_174524_a5.jpg
73.32,38.42,0.2413,0.1839,0.127,0.0,0.1821,26.32,46.84,40.93,26.93,5.1554,2.7002,5.63,0.0,plastic,20260408_174524_a6.jpg
124.34,60.04,0.2299,0.185,0.2106,0.1195,0.0568,41.24,67.6,63.4,37.89,5.7265,3.0284,10.28,0.0713,plastic,20260408_174524_a7.jpg
99.6,44.77,0.1955,0.1392,0.1562,0.0306,0.053,30.8,53.65,47.72,29.38,5.376,2.8117,7.35,0.0002,plastic,20260408_174524_a8.jpg
98.97,61.29,0.3151,0.2641,0.2062,0.0746,0.1606,39.7,66.99,64.75,39.06,5.7243,2.9509,12.02,0.0433,plastic,20260408_174524_a9.jpg
128.88,41.26,0.2139,0.1956,0.4785,0.0134,0.0022,17.37,37.5,42.34,17.77,5.3195,2.0929,59.88,0.0054,plastic,20260408_174530_a0.jpg
128.89,41.26,0.2132,0.1954,0.4781,0.0135,0.0021,17.37,37.5,42.34,16.8,5.3197,2.0944,59.37,0.0054,plastic,20260408_174530_a1.jpg
128.88,40.63,0.2125,0.1936,0.4788,0.0117,0.0014,15.48,33.95,41.54,16.28,5.2929,2.0165,59.86,0.0036,plastic,20260408_174530_a10.jpg
128.58,39.27,0.2105,0.1902,0.4838,0.0077,0.0005,10.96,27.76,39.8,13.26,5.2251,1.6608,59.73,0.0001,plastic,20260408_174530_a11.jpg
125.12,44.69,0.2246,0.2167,0.4382,0.0106,0.0189,20.28,44.72,46.07,20.25,5.4456,2.1287,48.72,0.0037,plastic,20260408_174530_a12.jpg
125.08,44.38,0.2226,0.2145,0.4408,0.011,0.019,20.89,45.45,45.87,20.07,5.4405,2.1589,48.72,0.0036,plastic,20260408_174530_a13.jpg
128.42,41.55,0.2167,0.1972,0.4768,0.0215,0.003,27.62,43.82,43.13,19.41,5.3568,2.8743,60.03,0.0051,plastic,20260408_174530_a14.jpg
118.22,39.66,0.4147,0.1196,1.0,0.0086,0.0051,16.71,35.49,40.72,16.98,5.2708,2.0769,695.27,0.0,plastic,20260408_174530_a15.jpg
128.88,41.27,0.2136,0.1955,0.4784,0.0137,0.0021,17.34,37.54,42.34,16.74,5.3183,2.0857,59.91,0.0054,plastic,20260408_174530_a2.jpg
128.89,41.26,0.2132,0.1954,0.4781,0.0135,0.0021,17.37,37.5,42.34,17.76,5.3197,2.0944,59.37,0.0054,plastic,20260408_174530_a3.jpg
128.88,41.26,0.2137,0.1955,0.4789,0.0136,0.0021,17.34,37.52,42.34,16.82,5.3177,2.0856,59.63,0.0056,plastic,20260408_174530_a4.jpg
129.12,39.45,0.199,0.1894,0.4545,0.014,0.0022,19.9,41.62,40.87,17.01,5.2738,2.213,52.97,0.0052,plastic,20260408_174530_a5.jpg
109.03,35.09,0.215,0.1972,0.4514,0.0033,0.0054,14.81,32.0,36.07,15.39,5.0888,1.9773,43.36,0.0,plastic,20260408_174530_a6.jpg
166.82,51.22,0.2104,0.199,0.5162,0.2339,0.0007,21.75,46.32,52.37,22.17,5.4334,2.265,112.03,0.1208,plastic,20260408_174530_a7.jpg
128.4,32.9,0.1634,0.1458,0.4382,0.0073,0.0001,14.8,32.71,33.82,14.19,4.9977,1.952,37.71,0.0,plastic,20260408_174530_a8.jpg
128.28,49.33,0.2712,0.2545,0.5092,0.0684,0.0131,19.75,41.81,50.49,20.89,5.5647,2.199,85.47,0.0093,plastic,20260408_174530_a9.jpg
120.53,39.68,0.3943,0.2225,0.2729,0.0009,0.0112,27.58,45.79,42.07,22.57,5.2868,2.8046,137.75,0.0,plastic,20260408_174802_a0.jpg
120.53,39.68,0.3946,0.2229,0.2731,0.0009,0.0112,27.58,45.78,42.07,22.59,5.2871,2.8047,138.45,0.0,plastic,20260408_174802_a1.jpg
