brightness,contrast,saturation,color_uniformity,warm_ratio,transparency,dark_ratio,edge_density,edge_intensity,texture_roughness,smoothness,entropy,edge_entropy,channel_variance,highlights,category,filename
60.92,47.37,0.6332,0.206,0.0236,0.0052,0.3596,4.61,9.88,47.53,16.18,4.441,1.0209,472.63,0.0,plastic,20260408_173929_a10.jpg
79.48,50.45,0.6499,0.2198,0.7709,0.0521,0.147,19.76,34.79,51.48,18.94,4.9663,2.5351,471.98,0.0002,plastic,20260408_173929_a11.jpg
60.91,49.93,0.0,0.0,0.0,0.006,0.377,18.04,33.36,50.92,19.83,4.6293,2.4319,0.0,0.0,plastic,20260408_173929_a12.jpg
51.65,41.76,0.87,0.2143,0.0124,0.0,0.5438,12.37,27.36,42.45,19.01,4.2512,1.9903,1024.23,0.0,plastic,20260408_173929_a13.jpg
60.92,49.92,0.6491,0.2165,0.0275,0.0073,0.3833,17.74,33.16,50.89,21.71,4.6358,2.4086,473.9,0.0,plastic,20260408_173929_a2.jpg
60.92,49.93,0.6487,0.2164,0.0278,0.007,0.3865,18.03,33.36,50.92,19.83,4.6375,2.4312,473.06,0.0,plastic,20260408_173929_a3.jpg
53.64,53.74,0.625,0.2739,0.0146,0.0095,0.4858,17.38,35.3,54.8,23.67,4.6056,2.2758,367.54,0.0,plastic,20260408_173929_a4.jpg
91.0,64.7,0.6272,0.2663,0.0309,0.121,0.1198,26.96,45.23,65.95,21.44,4.9373,2.8028,965.94,0.111,plastic,20260408_173929_a5.jpg
31.57,26.24,0.6553,0.2214,0.0191,0.0,0.8484,9.22,19.06,26.74,19.64,3.7236,1.771,131.02,0.0,plastic,20260408_173929_a6.jpg
60.82,67.8,0.803,0.2903,0.0278,0.1036,0.5203,21.31,40.42,68.89,23.2,4.8498,2.5069,795.98,0.0671,plastic,20260408_173929_a7.jpg
71.01,59.32,0.6306,0.2265,0.0142,0.0108,0.3578,14.56,27.97,59.96,18.82,4.8225,2.2183,511.11,0.0,plastic,20260408_173929_a8.jpg
61.28,51.4,0.6434,0.2422,0.0272,0.021,0.3948,51.5,73.37,55.43,28.05,4.9935,3.3145,438.85,0.0004,plastic,20260408_173929_a9.jpg
66.12,62.25,0.3661,0.2163,0.0283,0.0001,0.5302,13.06,30.98,62.93,21.38,4.8391,1.9622,43.87,0.0,plastic,20260408_173935_a0.jpg
66.13,62.26,0.366,0.217,0.0276,0.0001,0.5302,13.08,30.98,62.93,22.46,4.8389,1.9638,43.87,0.0,plastic,20260408_173935_a1.jpg
66.12,60.17,0.3495,0.2015,0.0253,0.0,0.5189,3.85,7.98,60.33,18.01,4.824,0.8787,43.88,0.0,plastic,20260408_173935_a10.jpg
72.08,61.68,0.3685,0.2185,0.1301,0.0001,0.3975,13.38,30.9,62.35,20.73,5.0169,1.9912,43.19,0.0,plastic,20260408_173935_a11.jpg
66.13,62.28,0.0,0.0,0.0,0.0001,0.5231,13.07,30.98,62.93,21.38,4.8144,1.9622,0.0,0.0,plastic,20260408_173935_a12.jpg
79.91,65.77,0.6698,0.2109,0.1981,0.0371,0.3396,13.99,32.22,66.48,20.26,4.8681,2.02,519.49,0.0,plastic,20260408_173935_a13.jpg
66.13,62.26,0.3651,0.216,0.0278,0.0,0.5305,13.05,31.02,62.93,22.33,4.8362,1.9557,43.7,0.0,plastic,20260408_173935_a2.jpg
66.13,62.26,0.366,0.217,0.0276,0.0001,0.5302,13.08,30.98,62.93,21.44,4.8389,1.9638,43.87,0.0,plastic,20260408_173935_a3.jpg
62.37,64.86,0.3736,0.2724,0.0273,0.0001,0.5684,13.35,33.57,65.61,24.58,4.8456,1.8849,33.41,0.0,plastic,20260408_173935_a4.jpg
96.09,87.75,0.3604,0.2302,0.0333,0.215,0.3176,18.04,38.34,88.41,22.49,4.8863,2.2435,79.2,0.1757,plastic,20260408_173935_a5.jpg
39.09,37.3,0.3731,0.2239,0.0187,0.0,0.7252,8.11,20.47,37.74,20.63,4.1276,1.5191,16.49,0.0,plastic,20260408_173935_a6.jpg
70.99,94.85,0.5387,0.4316,0.0279,0.1868,0.6558,14.66,37.4,95.43,25.91,4.3459,1.8836,71.28,0.1389,plastic,20260408_173935_a7.jpg
86.16,68.06,0.3258,0.2392,0.0146,0.0,0.402,11.33,28.3,68.54,20.53,5.0639,1.8094,52.31,0.0,plastic,20260408_173935_a8.jpg
66.91,62.71,0.4049,0.2838,0.0266,0.0078,0.499,48.56,70.86,65.46,28.65,5.1979,3.26,40.28,0.0,plastic,20260408_173935_a9.jpg
115.2,47.1,0.3531,0.2028,0.3549,0.0317,0.0615,34.57,57.12,49.74,25.03,5.5642,2.9961,1.24,0.0017,plastic,20260408_174059_a0.jpg
115.19,47.1,0.3539,0.2035,0.3544,0.0316,0.0612,34.58,57.13,49.74,23.79,5.5638,2.9962,1.22,0.0016,plastic,20260408_174059_a1.jpg
115.23,43.17,0.3399,0.1914,0.358,0.0169,0.0429,10.4,21.41,43.57,13.1,5.4445,1.8531,1.23,0.0,plastic,20260408_174059_a10.jpg
114.07,44.46,0.3517,0.2025,0.3862,0.024,0.0522,33.51,55.52,47.07,24.0,5.4831,2.9786,1.22,0.0013,plastic,20260408_174059_a11.jpg
115.2,47.12,0.0,0.0,0.0,0.0314,0.0599,34.58,57.15,49.74,25.04,5.5614,2.9954,0.0,0.0019,plastic,20260408_174059_a12.jpg
90.44,39.7,0.5734,0.1716,0.345,0.0002,0.1181,29.64,50.36,42.06,22.76,5.2999,2.8653,694.11,0.0,plastic,20260408_174059_a13.jpg
115.2,47.1,0.3535,0.2031,0.3541,0.0324,0.0609,34.74,57.09,49.74,23.67,5.5645,3.0162,1.21,0.002,plastic,20260408_174059_a2.jpg
115.19,47.1,0.3539,0.2035,0.3544,0.0316,0.0612,34.58,57.13,49.74,24.9,5.5638,2.9962,1.22,0.0016,plastic,20260408_174059_a3.jpg
108.2,55.16,0.3756,0.2495,0.2927,0.032,0.1354,35.74,61.35,57.86,30.9,5.5577,2.9134,3.07,0.0019,plastic,20260408_174059_a4.jpg
149.95,58.3,0.3424,0.2141,0.371,0.1677,0.0414,41.77,65.4,61.2,29.59,5.793,3.1784,5.39,0.0642,plastic,20260408_174059_a5.jpg
71.44,29.41,0.3585,0.2059,0.3221,0.0,0.1508,22.08,38.84,31.06,19.33,4.8935,2.6059,0.46,0.0,plastic,20260408_174059_a6.jpg
116.32,68.95,0.533,0.3127,0.366,0.103,0.1766,46.49,73.05,72.15,35.55,5.9035,3.1019,2.2,0.0466,plastic,20260408_174059_a7.jpg
117.43,47.83,0.3334,0.1872,0.2911,0.0309,0.0595,31.01,51.7,49.89,23.7,5.5807,2.9225,10.42,0.0025,plastic,20260408_174059_a8.jpg
114.91,48.84,0.363,0.2159,0.3555,0.0329,0.0714,59.31,80.2,54.65,31.68,5.6312,3.3581,1.09,0.004,plastic,20260408_174059_a9.jpg
114.27,62.04,0.2774,0.2121,0.2389,0.073,0.1604,44.06,74.24,65.53,35.94,5.8252,2.9664,1.91,0.0053,plastic,20260408_174115_a0.jpg
114.28,62.04,0.2777,0.2126,0.2373,0.0734,0.1615,44.07,74.23,65.53,27.39,5.8246,2.9673,1.93,0.0053,plastic,20260408_174115_a1.jpg
114.29,58.06,0.2662,0.2034,0.2386,0.0198,0.1582,13.8,27.7,58.54,18.58,5.6493,2.0979,1.86,0.0,plastic,20260408_174115_a10.jpg
115.11,61.07,0.2768,0.2121,0.2054,0.0617,0.1658,42.09,71.39,64.2,33.48,5.7863,2.9739,2.05,0.002,plastic,20260408_174115_a11.jpg
114.28,62.06,0.0,0.0,0.0,0.071,0.1579,44.07,74.26,65.53,35.95,5.8214,2.9658,0.0,0.0059,plastic,20260408_174115_a12.jpg
112.79,62.7,0.5186,0.1943,0.1646,0.0611,0.1817,43.48,71.9,66.11,34.71,5.772,3.0241,759.48,0.0001,plastic,20260408_174115_a13.jpg
114.27,62.05,0.2775,0.2122,0.2368,0.0739,0.1611,44.25,74.45,65.54,27.46,5.8246,2.9729,1.9,0.0054,plastic,20260408_174115_a2.jpg
114.28,62.04,0.2777,0.2126,0.2373,0.0734,0.1615,44.07,74.23,65.53,35.95,5.8246,2.9673,1.93,0.0053,plastic,20260408_174115_a3.jpg
100.73,69.63,0.3031,0.2832,0.2109,0.0643,0.2656,42.41,75.53,73.14,36.3,5.5489,2.7209,1.68,0.0056,plastic,20260408_174115_a4.jpg
149.45,76.1,0.2549,0.2319,0.2556,0.295,0.1013,47.26,73.11,78.41,38.78,5.7211,3.2074,3.42,0.1878,plastic,20260408_174115_a5.jpg
46.66,25.58,0.2852,0.2222,0.1338,0.0,0.449,19.52,36.26,27.08,21.02,4.5621,2.3716,0.37,0.0,plastic,20260408_174115_a6.jpg
115.44,85.45,0.3971,0.3586,0.2638,0.1984,0.2513,52.65,83.84,88.42,46.49,5.6328,2.9026,7.65,0.1147,plastic,20260408_174115_a7.jpg
126.32,55.97,0.2424,0.1922,0.2623,0.0822,0.0606,42.78,70.32,59.34,35.56,5.7617,3.0529,1.58,0.0063,plastic,20260408_174115_a8.jpg
114.16,63.04,0.3014,0.2348,0.2465,0.0775,0.1469,68.38,90.43,69.3,42.05,5.9018,3.2848,1.39,0.0104,plastic,20260408_174115_a9.jpg
99.38,69.34,0.423,0.2181,0.2568,0.0823,0.2385,28.88,54.37,70.94,26.14,5.7599,2.7286,24.81,0.0058,plastic,20260408_174133_a0.jpg
99.38,69.33,0.4227,0.2187,0.2578,0.0826,0.238,28.88,54.37,70.95,25.04,5.7595,2.728,24.72,0.0059,plastic,20260408_174133_a1.jpg
99.4,68.24,0.4171,0.214,0.255,0.0736,0.2358,19.05,37.17,68.96,20.85,5.74,2.4229,25.07,0.0023,plastic,20260408_174133_a10.jpg
98.29,66.85,0.4242,0.219,0.4615,0.0525,0.2298,28.5,53.43,68.45,25.43,5.715,2.7344,24.86,0.0027,plastic,20260408_174133_a11.jpg
99.39,69.37,0.0,0.0,0.0,0.0808,0.2358,28.9,54.41,70.95,26.16,5.7559,2.7281,0.0,0.0067,plastic,20260408_174133_a12.jpg
116.2,73.5,0.5611,0.2557,0.3217,0.1738,0.1743,30.12,56.49,75.12,26.91,5.6914,2.7555,268.08,0.0469,plastic,20260408_174133_a13.jpg
99.38,69.33,0.4225,0.2181,0.2567,0.0823,0.2379,28.66,54.15,70.94,25.01,5.7574,2.7247,24.89,0.0056,plastic,20260408_174133_a2.jpg
99.38,69.33,0.4227,0.2187,0.2578,0.0826,0.238,28.88,54.37,70.95,26.24,5.7595,2.728,24.72,0.0059,plastic,20260408_174133_a3.jpg
83.11,72.78,0.4203,0.2802,0.1991,0.0703,0.3541,27.93,56.64,74.9,29.19,5.4971,2.5026,21.52,0.0059,plastic,20260408_174133_a4.jpg
140.85,86.64,0.3753,0.2621,0.2574,0.337,0.1588,33.74,62.17,88.17,31.22,5.4271,2.7966,56.16,0.2735,plastic,20260408_174133_a5.jpg
67.04,47.12,0.4305,0.2233,0.2219,0.0,0.3818,20.17,40.22,48.28,20.64,5.2091,2.4278,11.25,0.0,plastic,20260408_174133_a6.jpg
100.96,91.54,0.5773,0.3612,0.266,0.2131,0.3796,32.99,64.32,93.33,33.34,5.434,2.5752,29.17,0.1194,plastic,20260408_174133_a7.jpg
87.49,62.07,0.386,0.1969,0.1809,0.0543,0.2538,18.29,35.69,62.82,21.05,5.683,2.394,61.5,0.0076,plastic,20260408_174133_a8.jpg
99.5,69.73,0.4376,0.2481,0.2532,0.081,0.2496,58.36,80.61,73.54,32.93,5.8396,3.3213,22.41,0.0105,plastic,20260408_174133_a9.jpg
87.07,52.24,0.3208,0.2381,0.2939,0.0271,0.1805,39.26,71.59,56.9,36.89,5.5435,2.7356,7.16,0.0111,plastic,20260408_174524_a0.jpg
87.08,52.23,0.3202,0.2368,0.2942,0.027,0.1802,39.26,71.59,56.9,33.09,5.5428,2.735,7.04,0.0111,plastic,20260408_174524_a1.jpg
87.12,47.06,0.3047,0.2239,0.2916,0.0115,0.1563,21.74,43.76,48.72,25.0,5.445,2.4073,6.88,0.002,plastic,20260408_174524_a10.jpg
85.57,50.91,0.3175,0.2353,0.1146,0.0258,0.1735,38.82,71.16,55.7,36.48,5.4711,2.7244,7.22,0.0098,plastic,20260408_174524_a11.jpg
87.09,52.3,0.0,0.0,0.0,0.0268,0.1773,39.26,71.61,56.89,36.94,5.5386,2.736,0.0,0.0115,plastic,20260408_174524_a12.jpg
87.29,52.27,0.5827,0.2423,0.1824,0.0272,0.183,39.22,71.66,57.32,36.66,5.5092,2.7328,241.66,0.0026,plastic,20260408_174524_a13.jpg
87.08,52.2,0.3203,0.2374,0.2968,0.0266,0.1799,39.02,71.12,56.83,32.96,5.5432,2.7451,7.14,0.0115,plastic,20260408_174524_a2.jpg
87.08,52.23,0.3202,0.2368,0.2942,0.027,0.1802,39.26,71.59,56.9,37.0,5.5428,2.735,7.04,0.0111,plastic,20260408_174524_a3.jpg
73.35,56.84,0.3196,0.2876,0.2305,0.0278,0.301,38.76,73.2,61.9,36.31,5.2821,2.5524,2.43,0.0117,plastic,20260408_174524_a4.jpg
130.21,69.37,0.3027,0.2459,0.355,0.1699,0.1189,50.24,82.48,73.77,43.88,5.7602,2.8816,34.77,0.1191,plastic,20260408_174524_a5.jpg
56.16,34.05,0.3252,0.2426,0.2206,0.0,0.3423,29.01,57.31,37.61,27.86,4.9426,2.5804,2.93,0.0,plastic,20260408_174524_a6.jpg
89.37,77.01,0.5002,0.3707,0.3344,0.1204,0.3259,48.51,84.1,81.54,48.53,5.5277,2.616,20.86,0.0837,plastic,20260408_174524_a7.jpg
90.4,51.13,0.2963,0.2294,0.2758,0.0286,0.1452,37.87,68.86,55.28,36.18,5.54,2.7435,4.31,0.0132,plastic,20260408_174524_a8.jpg
86.73,52.86,0.3371,0.2521,0.2994,0.0276,0.1901,53.53,78.11,58.71,39.14,5.61,3.2186,6.76,0.0104,plastic,20260408_174524_a9.jpg
124.17,47.8,0.2163,0.2137,0.3799,0.0085,0.0406,22.34,49.73,49.52,22.05,5.5379,2.1345,30.24,0.0034,plastic,20260408_174530_a0.jpg
124.17,47.8,0.2167,0.2132,0.381,0.0085,0.0408,22.3,49.67,49.52,20.41,5.5378,2.1349,30.14,0.0034,plastic,20260408_174530_a1.jpg
124.19,44.11,0.206,0.2004,0.3837,0.0002,0.0317,7.33,22.04,44.33,12.02,5.4119,1.223,30.18,0.0,plastic,20260408_174530_a10.jpg
122.62,47.46,0.2185,0.2131,0.0133,0.008,0.0391,22.14,49.37,49.13,21.82,5.5295,2.139,30.5,0.0031,plastic,20260408_174530_a11.jpg
124.2,47.83,0.0,0.0,0.0,0.0083,0.0399,22.33,49.72,49.52,22.06,5.5352,2.1345,0.0,0.0035,plastic,20260408_174530_a12.jpg
112.56,46.18,0.3985,0.2149,0.9326,0.0058,0.0551,21.67,48.48,47.96,21.76,5.4839,2.1204,357.19,0.0,plastic,20260408_174530_a13.jpg
124.16,47.8,0.2164,0.2136,0.3795,0.0087,0.0409,22.15,49.43,49.52,20.17,5.5395,2.1303,30.14,0.0032,plastic,20260408_174530_a2.jpg
124.17,47.8,0.2167,0.2132,0.381,0.0085,0.0408,22.3,49.67,49.52,22.07,5.5378,2.1349,30.14,0.0034,plastic,20260408_174530_a3.jpg
107.99,62.11,0.2316,0.2647,0.3335,0.0092,0.175,24.2,55.3,63.93,28.11,5.3787,2.0814,24.31,0.0037,plastic,20260408_174530_a4.jpg
185.29,62.18,0.2017,0.2231,0.4416,0.4291,0.0231,30.22,63.17,64.34,28.6,5.1408,2.3407,106.6,0.2883,plastic,20260408_174530_a5.jpg
81.14,31.44,0.2185,0.2145,0.2873,0.0,0.0908,15.41,35.64,32.66,17.54,4.9465,1.8939,12.68,0.0,plastic,20260408_174530_a6.jpg
125.9,77.43,0.3735,0.3668,0.3975,0.183,0.1753,29.77,64.23,79.38,31.43,5.8527,2.2109,56.87,0.1132,plastic,20260408_174530_a7.jpg
126.39,43.23,0.2154,0.2036,0.4288,0.011,0.0118,20.53,44.66,44.71,20.06,5.4179,2.1814,43.46,0.004,plastic,20260408_174530_a8.jpg
123.65,49.3,0.2306,0.22,0.386,0.0291,0.0455,51.16,71.73,53.68,28.01,5.637,3.323,29.23,0.0034,plastic,20260408_174530_a9.jpg
95.2,83.94,0.3154,0.2591,0.1788,0.1425,0.4244,28.83,60.55,85.84,32.28,5.3213,2.3803,6.97,0.0214,plastic,20260408_174552_a0.jpg
95.2,83.94,0.315,0.2598,0.1788,0.1425,0.4244,28.83,60.56,85.84,30.56,5.3222,2.3792,6.89,0.0212,plastic,20260408_174552_a1.jpg
95.19,81.72,0.3025,0.2448,0.1844,0.1244,0.4093,14.5,32.46,82.4,24.13,5.3188,1.982,7.34,0.017,plastic,20260408_174552_a10.jpg
92.81,86.02,0.3196,0.2589,0.0319,0.179,0.4471,26.75,57.74,87.67,31.16,5.2843,2.3212,7.49,0.0308,plastic,20260408_174552_a11.jpg
95.17,84.0,0.0,0.0,0.0,0.1396,0.4236,28.9,60.61,85.85,32.34,5.3201,2.3832,0.0,0.0221,plastic,20260408_174552_a12.jpg
70.57,60.27,0.7542,0.2445,0.9496,0.0,0.4824,22.08,50.59,61.91,26.5,4.5912,2.1737,780.29,0.0,plastic,20260408_174552_a13.jpg
95.19,83.94,0.3151,0.2584,0.1788,0.1428,0.4247,28.62,60.21,85.83,30.39,5.3171,2.3822,6.81,0.0212,plastic,20260408_174552_a2.jpg
95.2,83.94,0.315,0.2598,0.1788,0.1425,0.4244,28.83,60.56,85.84,32.34,5.3222,2.3792,6.89,0.0212,plastic,20260408_174552_a3.jpg
80.68,84.7,0.3182,0.2999,0.1631,0.1268,0.5073,27.72,62.18,87.02,34.44,5.1019,2.144,6.17,0.0208,plastic,20260408_174552_a4.jpg
123.56,101.74,0.2866,0.2753,0.195,0.3415,0.3916,28.36,63.53,103.3,35.48,4.7392,2.1755,38.66,0.2794,plastic,20260408_174552_a5.jpg
49.57,44.2,0.3266,0.2733,0.1418,0.0,0.5215,16.33,38.45,45.17,23.09,4.4275,1.9834,1.78,0.0,plastic,20260408_174552_a6.jpg
101.68,106.52,0.3607,0.4165,0.1697,0.2869,0.473,29.47,66.6,108.06,38.05,4.0843,2.063,23.33,0.2224,plastic,20260408_174552_a7.jpg
88.78,82.05,0.3292,0.2544,0.2,0.1241,0.4485,25.4,56.25,83.65,31.62,5.2653,2.2589,13.74,0.0267,plastic,20260408_174552_a8.jpg
95.21,83.58,0.3496,0.2938,0.1804,0.1356,0.4233,43.15,67.71,85.8,34.07,5.5574,3.1384,6.81,0.0217,plastic,20260408_174552_a9.jpg
91.49,72.1,0.3129,0.2222,0.1694,0.0345,0.417,27.57,56.94,73.86,28.37,5.5086,2.4666,0.75,0.0081,plastic,20260408_174557_a0.jpg
91.48,72.09,0.3119,0.221,0.1688,0.0345,0.4176,27.57,56.94,73.86,27.22,5.5086,2.4668,0.8,0.008,plastic,20260408_174557_a1.jpg
91.47,67.38,0.2822,0.1893,0.1801,0.0165,0.3773,7.58,21.4,67.62,16.83,5.4723,1.3702,0.87,0.0048,plastic,20260408_174557_a10.jpg
90.61,70.61,0.3157,0.223,0.2449,0.033,0.4135,26.96,55.33,72.29,27.54,5.5081,2.5179,0.73,0.0067,plastic,20260408_174557_a11.jpg
91.48,72.12,0.0,0.0,0.0,0.0336,0.4139,27.61,57.0,73.87,28.41,5.4996,2.4681,0.0,0.0082,plastic,20260408_174557_a12.jpg
82.96,63.58,0.3149,0.223,0.3638,0.0101,0.4341,24.93,52.63,65.22,25.94,5.33,2.3881,66.58,0.0,plastic,20260408_174557_a13.jpg
91.48,72.11,0.3131,0.2224,0.1695,0.0343,0.4168,27.74,57.07,73.9,27.37,5.5118,2.4862,0.77,0.008,plastic,20260408_174557_a2.jpg
91.48,72.09,0.3119,0.221,0.1688,0.0345,0.4176,27.57,56.94,73.86,28.28,5.5086,2.4668,0.8,0.008,plastic,20260408_174557_a3.jpg
88.54,73.04,0.3324,0.2478,0.1618,0.0345,0.4358,28.57,59.65,75.17,32.02,5.4949,2.4306,0.85,0.0076,plastic,20260408_174557_a4.jpg
